year,scenario,tas_celsius
2015,ssp245,5.9370728
2016,ssp245,5.814911
2017,ssp245,5.797821
2018,ssp245,5.8848877
2019,ssp245,5.730835
2020,ssp245,5.886902
2021,ssp245,5.9058228
2022,ssp245,5.9196777
2023,ssp245,6.2225037
2024,ssp245,6.2186584
2025,ssp245,6.368042
2026,ssp245,6.383972
2027,ssp245,6.4653625
2028,ssp245,6.452759
2029,ssp245,6.5397644
2030,ssp245,6.441345
2031,ssp245,6.682678
2032,ssp245,6.512207
2033,ssp245,6.408142
2034,ssp245,6.7115173
2035,ssp245,6.4296265
2036,ssp245,6.418335
2037,ssp245,6.71521
2038,ssp245,6.7808228
2039,ssp245,6.928131
2040,ssp245,6.7662964
2041,ssp245,6.58313
2042,ssp245,6.7365417
2043,ssp245,7.161499
2044,ssp245,7.167694
2045,ssp245,6.9018555
2046,ssp245,7.03656
2047,ssp245,7.2573547
2048,ssp245,7.272888
2049,ssp245,7.195099
2050,ssp245,7.550537
2051,ssp245,7.432831
2052,ssp245,7.3043823
2053,ssp245,7.405426
2054,ssp245,7.4544373
2055,ssp245,7.5628357
2056,ssp245,7.86615
2057,ssp245,7.4911804
2058,ssp245,7.3550415
2059,ssp245,7.3604736
2060,ssp245,7.5551453
2061,ssp245,7.290985
2062,ssp245,7.579132
2063,ssp245,7.5319824
2064,ssp245,7.9697876
2065,ssp245,7.815338
2066,ssp245,7.567322
2067,ssp245,7.626831
2068,ssp245,7.816925
2069,ssp245,7.8385315
2070,ssp245,7.821228
2071,ssp245,7.5711365
2072,ssp245,7.6291504
2073,ssp245,8.050598
2074,ssp245,8.140991
2075,ssp245,8.153259
2076,ssp245,7.923706
2077,ssp245,8.038513
2078,ssp245,8.107178
2079,ssp245,8.078522
2080,ssp245,8.165222
2081,ssp245,8.180237
2082,ssp245,8.086426
2083,ssp245,8.104614
2084,ssp245,7.96521
2085,ssp245,8.209747
2086,ssp245,8.08786
2087,ssp245,8.279053
2088,ssp245,8.292389
2089,ssp245,8.374817
2090,ssp245,8.383087
2091,ssp245,8.627289
2092,ssp245,8.766663
2093,ssp245,8.800873
2094,ssp245,8.727142
2095,ssp245,8.620544
2096,ssp245,8.641907
2097,ssp245,8.52063
2098,ssp245,8.20285
2099,ssp245,8.413452
2100,ssp245,8.886047
2015,ssp585,5.9638367
2016,ssp585,5.909607
2017,ssp585,5.8237305
2018,ssp585,5.7732544
2019,ssp585,5.9751587
2020,ssp585,5.968445
2021,ssp585,6.317871
2022,ssp585,6.277069
2023,ssp585,6.0398865
2024,ssp585,6.2731323
2025,ssp585,6.0821533
2026,ssp585,6.1885376
2027,ssp585,6.3323364
2028,ssp585,6.38855
2029,ssp585,6.6682434
2030,ssp585,6.4523315
2031,ssp585,6.508789
2032,ssp585,6.82724
2033,ssp585,6.8659973
2034,ssp585,6.8106384
2035,ssp585,6.9960327
2036,ssp585,6.8032837
2037,ssp585,6.732544
2038,ssp585,6.87323
2039,ssp585,6.8357544
2040,ssp585,7.1567993
2041,ssp585,7.311157
2042,ssp585,7.295746
2043,ssp585,7.0176086
2044,ssp585,7.1071167
2045,ssp585,7.4893494
2046,ssp585,7.255768
2047,ssp585,7.4249268
2048,ssp585,7.522949
2049,ssp585,7.71875
2050,ssp585,7.8832703
2051,ssp585,7.4601135
2052,ssp585,7.744568
2053,ssp585,7.8609314
2054,ssp585,7.835022
2055,ssp585,7.913452
2056,ssp585,8.095398
2057,ssp585,8.031952
2058,ssp585,8.260315
2059,ssp585,8.316895
2060,ssp585,8.419189
2061,ssp585,8.547882
2062,ssp585,8.378418
2063,ssp585,8.539276
2064,ssp585,8.756226
2065,ssp585,8.864288
2066,ssp585,8.978455
2067,ssp585,8.932495
2068,ssp585,8.899414
2069,ssp585,8.918854
2070,ssp585,9.118469
2071,ssp585,9.144287
2072,ssp585,9.210754
2073,ssp585,9.399536
2074,ssp585,9.506775
2075,ssp585,9.175903
2076,ssp585,9.367157
2077,ssp585,9.570099
2078,ssp585,9.70166
2079,ssp585,9.848999
2080,ssp585,9.91687
2081,ssp585,9.831787
2082,ssp585,10.009369
2083,ssp585,10.207275
2084,ssp585,10.395447
2085,ssp585,10.426819
2086,ssp585,10.458893
2087,ssp585,10.574371
2088,ssp585,10.627136
2089,ssp585,10.7404785
2090,ssp585,10.934235
2091,ssp585,11.039124
2092,ssp585,11.0572815
2093,ssp585,11.158386
2094,ssp585,11.198975
2095,ssp585,11.269043
2096,ssp585,11.226074
2097,ssp585,11.626404
2098,ssp585,11.530853
2099,ssp585,11.680481
2100,ssp585,12.012939
2015,ssp585,5.9346924
2016,ssp585,5.938507
2017,ssp585,6.147949
2018,ssp585,6.0820312
2019,ssp585,5.9208984
2020,ssp585,5.995331
2021,ssp585,6.2190247
2022,ssp585,6.2178345
2023,ssp585,6.1736145
2024,ssp585,6.4392395
2025,ssp585,6.3761597
2026,ssp585,6.442688
2027,ssp585,6.760193
2028,ssp585,6.6193542
2029,ssp585,6.656189
2030,ssp585,6.8936157
2031,ssp585,6.8744507
2032,ssp585,6.7509766
2033,ssp585,6.8957825
